Year,index_nsa,Housing_Price,"City,.State",Population,Violent.Crimes,Homicides,Rapes,Robberies
1979,48.3675,4836750,"Sacramento, CA",274300,3212,44,219,1640
1979,42.7675,4276750,"Seattle, WA",521590,4857,37,421,2071
1979,58.58,5858000,"Tampa, FL",277203,4206,37,308,1312
1979,55.7625,5576250,"Tucson, AZ",315978,2029,14,184,697
1979,74.9875,7498750,"Tulsa, OK",343258,2326,44,196,651
1979,44.6425,4464250,"Washington, DC",656000,10553,180,489,6920
1979,71.6375,7163750,"Wichita, KS",273559,1456,32,147,668
1980,53.755,5375500,"Albuquerque, NM",328837,2810,49,217,914
1980,56.9425,5694250,"Atlanta, GA",422474,11075,201,671,4733
1980,61.3875,6138750,"Austin, TX",343425,1723,43,237,678
1980,49.92,4992000,"Baltimore, MD",784554,16571,216,560,10020
1980,36.505,3650500,"Boston, MA",562582,12478,92,484,7526
1980,49.8875,4988750,"Buffalo, NY",357384,3833,61,297,1914
1980,53.5875,5358750,"Charlotte, NC",310794,2759,60,145,686
1980,46.465,4646500,"Chicago, IL",2986419,28658,863,1329,16261
1980,59.295,5929500,"Cincinnati, OH",383114,3930,48,353,1686
1980,57.0225,5702250,"Cleveland, OH",572657,11466,265,703,6802
1980,54.6925,5469250,"Columbus, OH",562416,5130,87,460,3224
1980,77.4375,7743750,"Dallas, TX",900104,12681,319,1121,4983
1980,58.77,5877000,"Aurora, CO",158249,1278,10,95,351
1980,58.77,5877000,"Denver, CO",489318,5520,99,704,2366
1980,58.395,5839500,"Detroit, MI",1197325,23288,547,1313,13429
1980,79.365,7936500,"Arlington, TX",161192,806,7,72,196
1980,71.0925,7109250,"Fresno, CA",215396,2369,49,193,1232
1980,37.95,3795000,"Honolulu, HI",762020,2456,65,264,1729
1980,90.9175,9091750,"Houston, TX",1557575,13499,524,1264,9181
1980,57.31,5731000,"Indianapolis, IN",698753,4453,107,410,2193
1980,58.8275,5882750,"Jacksonville, FL",542795,4848,70,414,1631
1980,61.8,6180000,"Memphis, TN",644957,6898,152,788,3846
1980,61.1025,6110250,"Miami, FL",335718,11474,220,325,6890
1980,58.275,5827500,"Milwaukee, WI",633845,3310,74,213,1796
1980,62.145,6214500,"Minneapolis, MN",370163,3917,36,373,2267
1980,52.27,5227000,"Nashville, TN",452025,3634,87,295,2027
1980,41.6225,4162250,"Newark, NJ",330104,11270,163,546,6845
1980,49.725,4972500,"Oakland, CA",338721,7536,132,434,4248
1980,63.205,6320500,"Omaha, NE",312919,1983,38,213,1053
1980,61.79,6179000,"Orlando, FL",127811,2350,17,190,742
1980,46.045,4604500,"Philadelphia, PA",1681175,17299,436,937,10883
1980,68.4375,6843750,"Mesa, AZ",149662,812,10,62,193
1980,68.4375,6843750,"Phoenix, AZ",772884,7020,103,485,3037
1980,58.76,5876000,"Pittsburgh, PA",424205,5120,50,299,3252
1980,52.0575,5205750,"Portland, OR",364419,4957,46,364,2249
1980,50.3225,5032250,"Raleigh, NC",148429,784,12,64,260
1980,54.09,5409000,"Sacramento, CA",274547,3221,45,217,1604
1980,47.0025,4700250,"Seattle, WA",491897,5201,63,512,2253
1980,61.0125,6101250,"Tampa, FL",268709,5089,44,348,1877
1980,61.1225,6112250,"Tucson, AZ",331506,2584,38,174,655
1980,82.78,8278000,"Tulsa, OK",355766,2715,36,251,798
1980,50.0325,5003250,"Washington, DC",635233,12772,200,439,8897
1980,76.1225,7612250,"Wichita, KS",279352,1823,32,202,826
1981,56.9725,5697250,"Albuquerque, NM",336840,2985,45,213,1107
1981,61.1125,6111250,"Atlanta, GA",435626,10608,181,644,4537
1981,67.065,6706500,"Austin, TX",357607,1545,39,263,669
1981,54.4825,5448250,"Baltimore, MD",797429,17737,228,565,10715
1981,41.81,4181000,"Boston, MA",566679,14071,100,531,9248
1981,51.85,5185000,"Buffalo, NY",359167,3341,25,229,1734
1981,55.9475,5594750,"Charlotte, NC",316503,3166,51,198,774
1981,49.7375,4973750,"Chicago, IL",3012703,25609,877,1255,16118
1981,60.0075,6000750,"Cincinnati, OH",383441,3892,43,289,1756
1981,57.9,5790000,"Cleveland, OH",573145,12429,233,621,7821
1981,57.8025,5780250,"Columbus, OH",562896,5263,91,396,3356
1981,84.4575,8445750,"Dallas, TX",937273,12749,298,1121,5402
1981,63.8525,6385250,"Aurora, CO",162900,1437,10,76,359
1981,63.8525,6385250,"Denver, CO",503695,5085,100,471,2403
1981,60.05,6005000,"Detroit, MI",1193805,23176,502,1229,14797
1981,85.205,8520500,"Arlington, TX",167848,699,12,102,212
1981,76.075,7607500,"Fresno, CA",221129,2158,33,155,1102
1981,31.6075,3160750,"Honolulu, HI",773331,1965,40,265,1320
1981,95.92,9592000,"Houston, TX",1621897,10274,497,967,6893
1981,61.42,6142000,"Indianapolis, IN",461820,4539,65,400,2194
1981,64.1775,6417750,"Jacksonville, FL",575157,5634,89,410,2340
1981,65.2575,6525750,"Memphis, TN",654096,7056,133,760,4092
1981,63.9625,6396250,"Miami, FL",356734,11211,210,382,6196
1981,57.5925,5759250,"Milwaukee, WI",641715,3424,71,290,1806
1981,62.525,6252500,"Minneapolis, MN",372784,3883,28,367,2296
1981,56.365,5636500,"Nashville, TN",458430,3087,79,363,1594
1981,44.185,4418500,"Newark, NJ",332746,12320,161,598,7778
1981,54.5675,5456750,"Oakland, CA",347736,7036,118,430,3836
1981,64.5275,6452750,"Omaha, NE",322883,1583,28,186,899
1981,65.9875,6598750,"Orlando, FL",135812,2373,25,154,885
1981,48.805,4880500,"Philadelphia, PA",1686834,17616,362,936,10816
1981,75.2275,7522750,"Mesa, AZ",153941,741,1,51,143
1981,75.2275,7522750,"Phoenix, AZ",794983,6319,96,408,2696
1981,57.0875,5708750,"Pittsburgh, PA",425632,5983,49,213,4288
1981,49.875,4987500,"Portland, OR",369518,6452,38,403,3072
1981,53.845,5384500,"Raleigh, NC",151155,719,11,56,288
1981,60.7075,6070750,"Sacramento, CA",281854,3535,53,228,1833
1981,48.3575,4835750,"Seattle, WA",503697,5414,59,485,2344
1981,64.955,6495500,"Tampa, FL",285530,5674,69,409,2314
1981,65.5175,6551750,"Tucson, AZ",340985,2810,28,163,872
1981,86.7275,8672750,"Tulsa, OK",367234,2678,47,247,949
1981,52.41,5241000,"Washington, DC",636000,14468,223,414,10399
1981,77.0075,7700750,"Wichita, KS",282465,1729,43,202,816
1982,59.865,5986500,"Albuquerque, NM",344962,2659,26,199,926
1982,64.9325,6493250,"Atlanta, GA",441103,10486,152,613,3999
1982,72.29,7229000,"Austin, TX",370331,1532,57,235,635
1982,54.54,5454000,"Baltimore, MD",798175,16683,227,550,9347
1982,43.7,4370000,"Boston, MA",567758,10970,93,366,6531
1982,51.6925,5169250,"Buffalo, NY",360493,3557,42,247,1653
1982,58.6275,5862750,"Charlotte, NC",320119,4100,48,198,990
1982,48.255,4825500,"Chicago, IL",3010862,26404,668,1112,16307
1982,60.06,6006000,"Cincinnati, OH",383975,3757,52,285,1589
1982,55.905,5590500,"Cleveland, OH",573944,9386,195,628,5296
1982,59.0575,5905750,"Columbus, OH",563680,4590,92,332,2507
1982,89.165,8916500,"Dallas, TX",970624,13053,306,1105,5695
1982,70.02,7002000,"Aurora, CO",167408,1406,10,76,353
1982,70.02,7002000,"Denver, CO",517638,4935,68,516,2386
1982,56.23,5623000,"Detroit, MI",1181868,23746,513,1167,16037
1982,88.115,8811500,"Arlington, TX",173821,607,7,67,191
1982,79.0775,7907750,"Fresno, CA",226300,2182,33,155,1212
1982,37.24,3724000,"Honolulu, HI",785181,2151,25,269,1457
1982,106.8925,10689250,"Houston, TX",1679607,17801,678,1270,12392
1982,59.8075,5980750,"Indianapolis, IN",462657,4341,69,387,1993
1982,71.39,7139000,"Jacksonville, FL",590957,5643,83,422,2152
1982,66.1675,6616750,"Memphis, TN",659913,7609,122,713,4404
1982,69.4825,6948250,"Miami, FL",365506,9963,190,349,5123
1982,55.0825,5508250,"Milwaukee, WI",645231,3593,62,194,2087
1982,66.505,6650500,"Minneapolis, MN",376704,4247,36,314,2583
1982,58.6675,5866750,"Nashville, TN",462507,3248,67,321,1662
1982,45.8725,4587250,"Newark, NJ",334414,10704,117,489,6393
1982,54.8725,5487250,"Oakland, CA",355868,6609,94,441,3194
1982,68.5575,6855750,"Omaha, NE",324936,2450,20,175,743
1982,75.11,7511000,"Orlando, FL",139152,2662,34,160,809
1982,49.585,4958500,"Philadelphia, PA",1687556,17511,332,839,10604
1982,74.67,7467000,"Mesa, AZ",157634,705,3,40,129
1982,74.67,7467000,"Phoenix, AZ",814054,5431,95,431,2402
1982,57.8575,5785750,"Pittsburgh, PA",425814,5391,51,236,3841
1982,50.7975,5079750,"Portland, OR",369796,6484,36,392,2811
1982,55.6675,5566750,"Raleigh, NC",152882,886,20,62,322
1982,63.22,6322000,"Sacramento, CA",288446,2988,43,191,1543
1982,48.4725,4847250,"Seattle, WA",507643,5120,31,435,2271
1982,74.835,7483500,"Tampa, FL",292551,5736,59,411,1842
1982,60.2175,6021750,"Tucson, AZ",349165,2925,31,236,910
1982,95.8975,9589750,"Tulsa, OK",376599,2704,31,228,1050
1982,53.7125,5371250,"Washington, DC",631000,13397,194,421,9137
1982,80.5825,8058250,"Wichita, KS",285665,1695,31,197,677
1983,63.61,6361000,"Albuquerque, NM",355163,2954,24,206,909
1983,67.5475,6754750,"Atlanta, GA",448635,9326,141,619,3552
1983,78.9225,7892250,"Austin, TX",381091,1534,58,240,665
1983,56.555,5655500,"Baltimore, MD",805527,16132,201,497,9167
1983,49.195,4919500,"Boston, MA",566551,11365,90,367,6713
1983,52.83,5283000,"Buffalo, NY",360656,3297,43,297,1410
1983,59.48,5948000,"Charlotte, NC",323704,4267,44,258,1102
1983,50.465,5046500,"Chicago, IL",3021203,39776,729,2246,23471
1983,62.08,6208000,"Cincinnati, OH",382373,3339,27,308,1401
1983,58.5825,5858250,"Cleveland, OH",571827,7798,148,716,4115
1983,59.7625,5976250,"Columbus, OH",561328,4197,74,324,2407
1983,94.7675,9476750,"Dallas, TX",998827,11478,268,891,4914
1983,72.3925,7239250,"Aurora, CO",172575,1706,12,65,333
1983,72.3925,7239250,"Denver, CO",533732,4379,78,430,1924
1983,53.19,5319000,"Detroit, MI",1176968,25527,580,1514,16922
1983,92.705,9270500,"Arlington, TX",178871,585,7,75,186
1983,73.5025,7350250,"Fresno, CA",230418,1913,32,172,984
1983,39.445,3944500,"Honolulu, HI",808092,2136,45,249,1243
1983,107.6825,10768250,"Houston, TX",1728783,15919,561,1179,10270
1983,61.46,6146000,"Indianapolis, IN",463455,4139,56,376,1821
1983,74.615,7461500,"Jacksonville, FL",605934,5670,82,411,2288
1983,69.635,6963500,"Memphis, TN",664883,7564,127,763,4493
1983,68.8625,6886250,"Miami, FL",374769,9784,144,365,4719
1983,58.0975,5809750,"Milwaukee, WI",643473,3720,51,235,2198
1983,68.7925,6879250,"Minneapolis, MN",377850,3487,16,316,2001
1983,61.23,6123000,"Nashville, TN",465887,3289,81,324,1713
1983,49.395,4939500,"Newark, NJ",336016,9327,112,553,5287
1983,56.255,5625500,"Oakland, CA",362344,6777,98,478,3289
1983,71.0175,7101750,"Omaha, NE",327276,2390,27,157,622
1983,77.0575,7705750,"Orlando, FL",142678,2215,14,141,768
1983,54.2275,5422750,"Philadelphia, PA",1692364,16973,311,822,10744
1983,79.075,7907500,"Mesa, AZ",163310,798,8,36,150
1983,79.075,7907500,"Phoenix, AZ",843415,5270,83,499,1971
1983,62.0175,6201750,"Pittsburgh, PA",426890,5605,42,214,4198
1983,52.0075,5200750,"Portland, OR",371706,6879,36,377,2964
1983,57.66,5766000,"Raleigh, NC",154482,879,12,46,289
1983,60.9525,6095250,"Sacramento, CA",293695,3080,52,217,1553
1983,49.3425,4934250,"Seattle, WA",514319,4818,61,434,2032
1983,76.6375,7663750,"Tampa, FL",299965,5053,58,288,1529
1983,66.34,6634000,"Tucson, AZ",361739,2776,26,253,766
1983,99.605,9960500,"Tulsa, OK",391101,2404,35,193,968
1983,56.6325,5663250,"Washington, DC",623000,11933,183,406,7698
1983,82.84,8284000,"Wichita, KS",287807,1385,26,161,534
1984,67.135,6713500,"Albuquerque, NM",356366,3615,28,210,1215
1984,71.6575,7165750,"Atlanta, GA",442951,10525,135,632,4029
1984,88.5175,8851750,"Austin, TX",385237,1648,59,264,768
1984,59.965,5996500,"Baltimore, MD",788604,15581,215,564,8002
1984,59.14,5914000,"Boston, MA",565192,10557,82,460,5539
1984,56.045,5604500,"Buffalo, NY",352015,3316,35,278,1386
1984,64.21,6421000,"Charlotte, NC",331992,4431,54,243,1144
1984,53.59,5359000,"Chicago, IL",3012524,60579,741,2883,28535
1984,62.955,6295500,"Cincinnati, OH",378800,3447,36,367,1332
1984,59.6975,5969750,"Cleveland, OH",556931,7332,156,733,4090
1984,61.6675,6166750,"Columbus, OH",568609,4352,62,394,2298
1984,100.7075,10070750,"Dallas, TX",987696,12110,294,1022,4841
1984,73.595,7359500,"Aurora, CO",191159,1822,13,95,317
1984,73.595,7359500,"Denver, CO",524171,4100,82,427,1681
1984,52.62,5262000,"Detroit, MI",1133647,26567,514,1519,18352
1984,98.03,9803000,"Arlington, TX",191475,765,13,93,200
1984,74.12,7412000,"Fresno, CA",254649,1994,34,134,1066
1984,41.2375,4123750,"Honolulu, HI",810772,1950,25,255,1117
1984,103.0325,10303250,"Houston, TX",1805783,15155,473,1269,9157
1984,63.7325,6373250,"Indianapolis, IN",471622,4366,49,324,1842
1984,78.375,7837500,"Jacksonville, FL",582421,6228,103,587,2134
1984,67.295,6729500,"Memphis, TN",654666,9158,113,794,4763
1984,68.205,6820500,"Miami, FL",400646,10928,170,273,5705
1984,59.085,5908500,"Milwaukee, WI",632458,3456,44,292,1871
1984,70.1725,7017250,"Minneapolis, MN",370866,3883,27,392,1740
1984,65.585,6558500,"Nashville, TN",475744,3104,72,410,1438
1984,57.0125,5701250,"Newark, NJ",324961,8580,87,589,4660
1984,58.205,5820500,"Oakland, CA",358566,6388,115,426,3170
1984,73.125,7312500,"Omaha, NE",357790,2410,24,202,530
1984,79.97,7997000,"Orlando, FL",140541,2387,18,146,802
1984,57.655,5765500,"Philadelphia, PA",1667545,15599,263,937,9365
1984,82.555,8255500,"Mesa, AZ",181287,871,6,56,127
1984,82.555,8255500,"Phoenix, AZ",870279,6372,101,525,2106
1984,63.24,6324000,"Pittsburgh, PA",415475,4564,47,224,3212
1984,51.69,5169000,"Portland, OR",367055,7408,34,370,3042
1984,64.175,6417500,"Raleigh, NC",158028,947,8,47,306
1984,61.6925,6169250,"Sacramento, CA",300248,3252,45,248,1645
1984,50.67,5067000,"Seattle, WA",497598,5553,50,448,2386
1984,78.8475,7884750,"Tampa, FL",289355,5852,52,277,1843
1984,66.6675,6666750,"Tucson, AZ",372146,2959,25,282,809
1984,95.12,9512000,"Tulsa, OK",385394,2619,30,246,904
1984,59.485,5948500,"Washington, DC",623000,10725,175,366,6087
1984,83.65,8365000,"Wichita, KS",291555,1328,12,207,451
1985,69.8125,6981250,"Albuquerque, NM",357051,4105,42,238,1247
1985,75.7325,7573250,"Atlanta, GA",436214,11610,145,683,4792
1985,96.6825,9668250,"Austin, TX",406469,2363,52,489,1076
1985,63.2925,6329250,"Baltimore, MD",771097,15498,213,592,7771
1985,74.9125,7491250,"Boston, MA",573131,11887,87,532,6232
1985,59.25,5925000,"Buffalo, NY",339890,3411,31,291,1390
1985,68.13,6813000,"Charlotte, NC",335690,4575,56,226,1121
1985,56.125,5612500,"Chicago, IL",2998841,60011,666,3357,26892
1985,64.715,6471500,"Cincinnati, OH",370198,3275,45,360,1242
1985,61.5075,6150750,"Cleveland, OH",546126,6580,131,745,3499
1985,63.5675,6356750,"Columbus, OH",565682,4392,72,406,2144
1985,105.4775,10547750,"Dallas, TX",997467,14364,301,1149,6051
1985,73.6325,7363250,"Aurora, CO",198033,2250,10,89,434
1985,73.6325,7363250,"Denver, CO",513048,4252,72,418,1917
1985,54.63,5463000,"Detroit, MI",1090581,25904,635,1575,16769
1985,100.8425,10084250,"Arlington, TX",218931,1110,18,105,299
1985,74.3525,7435250,"Fresno, CA",275125,2311,46,178,1233
1985,43.2475,4324750,"Honolulu, HI",817083,1801,36,248,965
1985,95.0475,9504750,"Houston, TX",1746375,16461,457,1711,9589
1985,65.9125,6591250,"Indianapolis, IN",471656,4622,59,346,1795
1985,82.4175,8241750,"Jacksonville, FL",601007,7301,90,705,2693
1985,76.1775,7617750,"Memphis, TN",654626,9738,122,903,5016
1985,67.685,6768500,"Miami, FL",385892,11186,131,284,5768
1985,60.2325,6023250,"Milwaukee, WI",621931,4056,68,390,2086
1985,71.9525,7195250,"Minneapolis, MN",361021,5135,29,419,2326
1985,70.2125,7021250,"Nashville, TN",481286,3376,81,348,1588
1985,66.6975,6669750,"Newark, NJ",316356,9736,117,594,5320
1985,62.0975,6209750,"Oakland, CA",362095,6703,95,531,3316
1985,74.67,7467000,"Omaha, NE",362883,2498,24,214,591
1985,82.215,8221500,"Orlando, FL",142025,2931,24,154,902
1985,62.455,6245500,"Philadelphia, PA",1640102,16209,273,1021,9381
1985,86.28,8628000,"Mesa, AZ",202450,1121,8,70,156
1985,86.28,8628000,"Phoenix, AZ",890746,7521,89,635,2425
1985,64.3725,6437250,"Pittsburgh, PA",400969,4353,34,188,3016
1985,51.7775,5177750,"Portland, OR",367571,8634,43,469,3508
1985,71.04,7104000,"Raleigh, NC",171814,1035,13,57,307
1985,64.345,6434500,"Sacramento, CA",312944,3681,39,209,2083
1985,52.405,5240500,"Seattle, WA",495190,6523,61,441,2843
1985,81.9125,8191250,"Tampa, FL",285280,6855,70,288,2657
1985,71.6475,7164750,"Tucson, AZ",381473,3713,32,297,1051
1985,93.0125,9301250,"Tulsa, OK",374875,2902,33,268,796
1985,63.3225,6332250,"Washington, DC",626000,10171,147,337,5230
1985,83.87,8387000,"Wichita, KS",284915,1672,26,249,699
1986,72.9275,7292750,"Albuquerque, NM",364196,4292,49,247,1248
1986,81.295,8129500,"Atlanta, GA",445617,13162,186,681,5428
1986,98.0975,9809750,"Austin, TX",414220,2667,48,388,1124
1986,68.41,6841000,"Baltimore, MD",783542,15229,240,660,7989
1986,92.565,9256500,"Boston, MA",574107,12395,105,516,6225
1986,63.155,6315500,"Buffalo, NY",339685,3755,35,281,1533
1986,71.975,7197500,"Charlotte, NC",339767,5487,53,305,1454
1986,60.385,6038500,"Chicago, IL",3003105,68909,754,3708,30918
1986,67.985,6798500,"Cincinnati, OH",370482,3340,46,291,1216
1986,64.225,6422500,"Cleveland, OH",546544,7115,124,773,3698
1986,66.96,6696000,"Columbus, OH",566115,5148,78,550,2255
1986,108.3975,10839750,"Dallas, TX",1016488,19275,347,1255,9289
1986,74.7475,7474750,"Aurora, CO",200189,2868,11,120,580
1986,74.7475,7474750,"Denver, CO",518625,4650,91,424,2099
1986,59.585,5958500,"Detroit, MI",1096947,27277,648,1351,16421
1986,104.015,10401500,"Arlington, TX",223106,1450,22,120,518
1986,77.0675,7706750,"Fresno, CA",281554,3426,53,241,1316
1986,45.42,4542000,"Honolulu, HI",823306,2076,46,241,1052
1986,92.0775,9207750,"Houston, TX",1779677,20576,408,1524,10926
1986,69.345,6934500,"Indianapolis, IN",470591,4307,63,438,1571
1986,85.9,8590000,"Jacksonville, FL",616668,8003,119,618,2985
1986,81.66,8166000,"Memphis, TN",660255,10477,161,919,5819
1986,70.2675,7026750,"Miami, FL",396374,11676,148,221,5767
1986,62.325,6232500,"Milwaukee, WI",623278,6135,83,444,2207
1986,75.1525,7515250,"Minneapolis, MN",362845,5959,44,492,2801
1986,75.8875,7588750,"Nashville, TN",470906,4218,93,410,1953
1986,81.645,8164500,"Newark, NJ",318801,10160,113,589,5464
1986,66.665,6666500,"Oakland, CA",370556,6985,129,538,3787
1986,76.775,7677500,"Omaha, NE",332368,2726,30,225,627
1986,85.68,8568000,"Orlando, FL",145882,3416,14,172,1229
1986,69.7075,6970750,"Philadelphia, PA",1645144,17207,343,1086,9647
1986,91.0725,9107250,"Mesa, AZ",210702,1208,11,117,239
1986,91.0725,9107250,"Phoenix, AZ",927055,9238,122,567,2972
1986,67.4675,6746750,"Pittsburgh, PA",402204,4707,47,253,3253
1986,52.2125,5221250,"Portland, OR",368439,8804,46,438,3887
1986,76.48,7648000,"Raleigh, NC",173901,1163,16,76,339
1986,67.5775,6757750,"Sacramento, CA",320256,4238,70,258,2214
1986,54.03,5403000,"Seattle, WA",501279,6790,50,443,2792
1986,86.4175,8641750,"Tampa, FL",293030,8147,79,375,3512
1986,75.185,7518500,"Tucson, AZ",397023,3644,41,251,1042
1986,92.7525,9275250,"Tulsa, OK",375335,3295,40,272,858
1986,68.3225,6832250,"Washington, DC",626000,9422,194,328,4719
1986,87.315,8731500,"Wichita, KS",286163,1531,23,261,586
1987,75.43,7543000,"Albuquerque, NM",371756,3845,48,211,987
1987,86.005,8600500,"Atlanta, GA",429953,12893,207,636,5100
1987,88.4675,8846750,"Austin, TX",469542,2313,39,284,985
1987,76.505,7650500,"Baltimore, MD",764893,14295,226,595,7466
1987,106.47,10647000,"Boston, MA",575882,11954,76,550,5408
1987,70.9225,7092250,"Buffalo, NY",325787,3555,35,268,1552
1987,77.82,7782000,"Charlotte, NC",356596,5992,52,308,1486
1987,67.5375,6753750,"Chicago, IL",3018338,68368,689,3692,29815
1987,73.16,7316000,"Cincinnati, OH",371585,3167,69,344,1183
1987,69.265,6926500,"Cleveland, OH",548171,6964,145,750,3541
1987,71.6425,7164250,"Columbus, OH",567800,5381,85,534,2864
1987,103.31,10331000,"Dallas, TX",1009947,20086,323,1260,9091
1987,73.035,7303500,"Aurora, CO",219945,2700,20,118,524
1987,73.035,7303500,"Denver, CO",509529,3841,79,401,1612
1987,67.395,6739500,"Detroit, MI",1091523,27778,686,1417,15093
1987,101.3575,10135750,"Arlington, TX",251372,1412,18,92,511
1987,78.815,7881500,"Fresno, CA",291855,3373,33,196,1096
1987,49.4375,4943750,"Honolulu, HI",832614,2258,36,322,985
1987,84.995,8499500,"Houston, TX",1739999,18971,323,1172,9692
1987,74.27,7427000,"Indianapolis, IN",478693,4543,57,432,1334
1987,88.53,8853000,"Jacksonville, FL",629887,9577,147,609,3876
1987,85.76,8576000,"Memphis, TN",659720,8833,143,831,4696
1987,72.25,7225000,"Miami, FL",385089,11309,128,202,5594
1987,65.25,6525000,"Milwaukee, WI",607885,6008,92,437,1984
1987,79.2975,7929750,"Minneapolis, MN",359371,5538,38,520,2866
1987,81.7225,8172250,"Nashville, TN",487097,5253,99,509,2350
1987,100.48,10048000,"Newark, NJ",318402,8926,81,577,4230
1987,73.0725,7307250,"Oakland, CA",365983,6485,114,538,3176
1987,77.3175,7731750,"Omaha, NE",374934,2536,28,189,570
1987,87.4525,8745250,"Orlando, FL",150250,3411,27,181,1029
1987,81.2025,8120250,"Philadelphia, PA",1649364,17398,338,1102,9302
1987,92.2675,9226750,"Mesa, AZ",262428,1293,9,96,222
1987,92.2675,9226750,"Phoenix, AZ",933177,8181,111,503,2287
1987,71.5625,7156250,"Pittsburgh, PA",389015,4318,37,263,2834
1987,52.84,5284000,"Portland, OR",390845,8763,66,407,3667
1987,78.59,7859000,"Raleigh, NC",182750,1124,15,78,384
1987,72.235,7223500,"Sacramento, CA",331728,3836,78,241,1841
1987,56.7225,5672250,"Seattle, WA",494426,7096,54,465,2959
1987,89.09,8909000,"Tampa, FL",285856,8899,61,297,3427
1987,77.2525,7725250,"Tucson, AZ",374546,3523,23,281,911
1987,88.5,8850000,"Tulsa, OK",369961,3129,35,234,1074
1987,77.58,7758000,"Washington, DC",622000,10016,225,245,4462
1987,87.97,8797000,"Wichita, KS",290702,1566,24,240,591
1988,75.2175,7521750,"Albuquerque, NM",378176,4275,49,190,928
1988,89.4425,8944250,"Atlanta, GA",444995,15911,217,721,5972
1988,80.395,8039500,"Austin, TX",467423,2508,43,247,1018
1988,84.5425,8454250,"Baltimore, MD",763880,14721,234,517,7396
1988,111.6625,11166250,"Boston, MA",579921,12175,93,558,5233
1988,78.77,7877000,"Buffalo, NY",323714,4271,43,296,1774
1988,82.6775,8267750,"Charlotte, NC",370492,6815,46,315,1933
1988,74.67,7467000,"Chicago, IL",2994100,69318,660,3695,28975
1988,77.975,7797500,"Cincinnati, OH",377783,3199,47,296,1211
1988,72.665,7266500,"Cleveland, OH",544515,7333,137,844,3795
1988,76.67,7667000,"Columbus, OH",588428,5802,69,594,3028
1988,97.115,9711500,"Dallas, TX",1017818,21135,366,1306,9647
1988,71.0575,7105750,"Aurora, CO",219404,2625,15,127,462
1988,71.0575,7105750,"Denver, CO",500555,3634,69,370,1393
1988,73.1325,7313250,"Detroit, MI",1086714,25805,629,1447,12978
1988,95.4025,9540250,"Arlington, TX",251712,1388,13,110,568
1988,80.39,8039000,"Fresno, CA",294695,3997,39,231,1393
1988,58.245,5824500,"Honolulu, HI",838656,2186,28,283,833
1988,84.2075,8420750,"Houston, TX",1725421,19817,440,1206,10049
1988,78.97,7897000,"Indianapolis, IN",483187,5635,79,422,1464
1988,87.9175,8791750,"Memphis, TN",668935,8914,174,863,4462
1988,76.945,7694500,"Miami, FL",389720,12961,146,411,6398
